City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,novo brdo,45.5864,16.0229,284.28,93,100,0.0,HR,1699653056
199,laela,-8.5667,32.05,294.83,56,99,3.43,TZ,1699653056
200,timbuktu,16.7735,-3.0074,300.84,15,60,4.16,ML,1699653056
201,lorengau,-2.0226,147.2712,300.58,85,98,3.53,PG,1699653057
202,geraldton,-28.7667,114.6,287.38,82,100,4.63,AU,1699653057
203,bodaybo,57.8506,114.1933,262.01,97,100,0.93,RU,1699653057
204,lompoc,34.6391,-120.4579,298.58,49,0,5.66,US,1699653057
205,luanco,43.6152,-5.7934,286.86,97,100,3.18,ES,1699653057
206,la passe,45.5549,-0.8967,284.81,73,68,4.69,FR,1699653057
207,puerto deseado,-47.7503,-65.8938,290.95,36,25,10.54,AR,1699653058
208,charters towers,-20.1,146.2667,296.59,65,92,3.95,AU,1699653058
209,saint-philippe,-21.3585,55.7679,297.92,84,43,1.93,RE,1699653058
210,novoishimskiy,53.1981,66.7694,276.31,90,100,3.98,KZ,1699653058
211,g'uzor,38.6214,66.2522,280.17,18,100,1.95,UZ,1699653058
212,vila franca do campo,37.7167,-25.4333,295.31,99,89,6.93,PT,1699653058
213,howrah,22.5892,88.3103,296.15,83,7,0.0,IN,1699653058
214,dunedin,-45.8742,170.5036,289.86,64,0,3.58,NZ,1699652782
215,san antonio de pale,-1.4014,5.6325,299.24,84,100,5.12,GQ,1699653059
216,invercargill,-46.4,168.35,288.9,39,0,1.58,NZ,1699653059
217,badger,64.8,-147.5333,266.68,90,100,1.54,US,1699652928
218,darwin,-12.4611,130.8418,299.79,83,20,1.03,AU,1699653044
219,ulsteinvik,62.3432,5.8487,277.46,79,93,2.24,NO,1699653059
220,singaraja,-8.112,115.0882,299.06,81,100,2.06,ID,1699653059
221,kiruna,67.8557,20.2251,260.66,85,2,3.6,SE,1699653059
222,ambodifotatra,-16.9833,49.85,298.4,82,96,3.38,MG,1699653059
223,richlands,37.0932,-81.7937,281.75,100,100,0.0,US,1699652969
224,chernyshevskiy,63.0128,112.4714,259.45,85,47,2.49,RU,1699653060
225,pyapon,16.2833,95.6833,297.54,94,99,2.63,MM,1699653060
226,lebu,-37.6167,-73.65,285.23,79,74,8.67,CL,1699653060
227,dudinka,69.4058,86.1778,265.75,93,100,12.07,RU,1699653060
228,crane,31.3974,-102.3501,286.29,48,88,3.26,US,1699653060
229,fortuna foothills,32.6578,-114.4119,297.86,10,10,1.79,US,1699653060
230,labytnangi,66.6572,66.4183,261.87,90,76,1.76,RU,1699652909
231,florencia,43.7667,11.25,284.68,89,40,2.57,IT,1699652927
232,gadzhiyevo,69.2551,33.3362,264.82,94,30,4.06,RU,1699653061
233,hirara,24.8,125.2833,297.3,88,75,6.17,JP,1699653061
234,georgetown,5.4112,100.3354,300.38,95,20,2.06,MY,1699653061
235,puerto armuelles,8.2833,-82.8667,302.57,84,96,3.13,PA,1699653062
236,niquelandia,-14.4739,-48.4597,304.78,22,45,2.31,BR,1699653062
237,botticino,45.536,10.3019,282.25,93,75,4.12,IT,1699653062
238,banda aceh,5.5577,95.3222,299.05,85,100,4.01,ID,1699653062
239,ambon,-3.6954,128.1814,299.31,15,20,3.09,ID,1699653063
240,chinchilla,-26.75,150.6333,295.19,59,3,5.12,AU,1699653063
241,vanino,49.0869,140.2543,268.23,74,100,4.85,RU,1699653064
242,uturoa,-16.7333,-151.4333,300.1,81,99,5.03,PF,1699653064
243,fulton,33.7668,-84.4499,292.0,89,75,4.63,US,1699653064
244,whangarei,-35.7317,174.3239,292.73,45,5,0.42,NZ,1699653064
245,shushtar,32.0455,48.8567,297.62,33,30,1.31,IR,1699653065
246,springbok,-29.6643,17.8865,290.09,55,23,1.29,ZA,1699653066
247,abu road,24.4833,72.7833,295.45,51,1,2.5,IN,1699653066
248,nar'yan-mar,67.6713,53.087,264.32,93,69,3.13,RU,1699653066
249,salinopolis,-0.6136,-47.3561,300.77,81,43,7.45,BR,1699653066
250,waycross,31.2136,-82.354,300.29,54,0,3.09,US,1699653067
251,gwadar,25.1216,62.3254,298.75,38,0,4.61,PK,1699653067
252,sultanah,24.4926,39.5857,300.4,19,0,4.12,SA,1699653067
253,sao felix do xingu,-6.6447,-51.995,299.22,69,66,1.26,BR,1699653067
254,cabanglasan,8.1214,125.3275,294.01,97,15,0.76,PH,1699653068
255,sarmiento,-45.5882,-69.07,292.47,22,57,12.2,AR,1699653068
256,remire-montjoly,4.9167,-52.2667,300.83,80,23,6.67,GF,1699653068
257,whitehorse,60.7161,-135.0538,273.58,86,100,0.0,CA,1699652923
258,hamilton,39.1834,-84.5333,289.62,29,0,4.92,US,1699653037
259,kiiminki,65.1314,25.7974,269.69,100,37,2.32,FI,1699653069
